experiment_id,resolved_config_hash,mathematical_object_hash,input_artifact_hash,seed,precision,backend,device,implementation_version,run_id,status,failure_reason,run_path,epsilon_requested,closure_residual_upper,operator_norm_upper,tree_family,internal_nodes,tree_height,observed_error,projected_observed_error,theoretical_bound,tightness_ratio,runtime_seconds,ram_peak_bytes,vram_peak_bytes,convergence_status,failure_count,method,closure_leakage,principal_angle_radians,projector_rank,rank,relative_frobenius_error,control,gap,relative_perturbation,perturbation_norm,snapped_projector_distance,bound_respected,status_detail,reason,max_abs_error
V2_APPROX_CLOSURE_BOUND,fe7c714bee2613ee3e323aaaf8e8c77bb8ce609b1e1fa7a7a5e8194d72f9dec4,33eaac2054ea2eed30de4e2cfd9f48fd648c1da5beb4f9bd1cd57f706e2a8404,3ac0a455dff31f643cda7695f806247c589144060c77030024e5887e9293f1bd,1,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_59a829558616ee9f,complete,,artifacts\runs_v2\v2_approx_closure_bound_59a829558616ee9f,0.01,0.01,1.0000499987500624,balanced,4,2,1.7089057553716623e-06,0.0,0.04000600014999748,4.271623628866506e-05,0.002342499967198819,9845,0,complete,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,8a25afe352d3ebf31febe5f366adb5a80e6a59e0604df070e6b9246657514329,eee47a50bc9035b3b400bc2a678d288ec87ea40f7049a6b8f9bf2390ed3b0c9a,3ac0a455dff31f643cda7695f806247c589144060c77030024e5887e9293f1bd,1,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_c583b92fa98ce330,complete,,artifacts\runs_v2\v2_approx_closure_bound_c583b92fa98ce330,0.05,0.05,1.0012492197250393,single,1,1,0.0021530437093446133,0.0,0.04999999999999999,0.04306087418689228,0.000486800039652735,9125,0,complete,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,936b85efbac3382db1f6609d4617d8adb97de6164467ddc582f6d8c1a3fa32a0,eee47a50bc9035b3b400bc2a678d288ec87ea40f7049a6b8f9bf2390ed3b0c9a,3ac0a455dff31f643cda7695f806247c589144060c77030024e5887e9293f1bd,1,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_2f9713145c0e7e2c,complete,,artifacts\runs_v2\v2_approx_closure_bound_2f9713145c0e7e2c,0.05,0.05,1.0012492197250393,associator_left,2,2,0.00513131647274285,0.0,0.10012492197250392,0.05124914328674335,0.0011567999608814716,9301,0,complete,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,a5dd26d64121373379f72977d362a1888d03b17ef2da559e0cd975a4ebe7cab9,eee47a50bc9035b3b400bc2a678d288ec87ea40f7049a6b8f9bf2390ed3b0c9a,3ac0a455dff31f643cda7695f806247c589144060c77030024e5887e9293f1bd,1,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_898ed16d4aef1f11,complete,,artifacts\runs_v2\v2_approx_closure_bound_898ed16d4aef1f11,0.05,0.05,1.0012492197250393,balanced,4,2,8.544528776858311e-06,0.0,0.20075046855487036,4.2562933169557547e-05,0.0025410999660380185,9845,0,complete,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,da3d1bbb937610d53bc5ae4588880853022b2049176e3002b96d99b0122d9387,4e65a87d4a62e02eda2ca66b49b861538535e2179907f9c3e26bb6947a7395a3,3ac0a455dff31f643cda7695f806247c589144060c77030024e5887e9293f1bd,1,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_374d498a74da4a77,complete,,artifacts\runs_v2\v2_approx_closure_bound_374d498a74da4a77,0.1,0.1,1.004987562112089,single,1,1,0.004306087418689227,0.0,0.09999999999999998,0.04306087418689228,0.0007362000178545713,9125,0,complete,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,e1aec574c0b5d1521285d6de07eb184b8f09cbef6fd53dae1312f32ec5872e1a,4e65a87d4a62e02eda2ca66b49b861538535e2179907f9c3e26bb6947a7395a3,3ac0a455dff31f643cda7695f806247c589144060c77030024e5887e9293f1bd,1,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_d647b0aeff2642bd,complete,,artifacts\runs_v2\v2_approx_closure_bound_d647b0aeff2642bd,0.1,0.1,1.004987562112089,associator_left,2,2,0.0102626329454857,0.0,0.20099751242241776,0.051058507251162795,0.001141799963079393,9301,0,complete,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,17d6e761bf61f83dcda6864e1c729b1a9ceef1f948d77ccc5493d692d207c509,4e65a87d4a62e02eda2ca66b49b861538535e2179907f9c3e26bb6947a7395a3,3ac0a455dff31f643cda7695f806247c589144060c77030024e5887e9293f1bd,1,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_32f65f5d12c56748,complete,,artifacts\runs_v2\v2_approx_closure_bound_32f65f5d12c56748,0.1,0.1,1.004987562112089,balanced,4,2,1.7089057553716623e-05,0.0,0.40601497509328377,4.2089722305908386e-05,0.0026807000394910574,9845,0,complete,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,f0e9b649fb1ea2b823fa658dbae332b7e05531b0e5cee5003239a1a7241efbcf,766a2baac277988382ca654df38674506cb40abf6fe2e0753fb517a16150a2d1,37f728f4c3c5bd530cebb986d560163ffa7a206d42ec5a76a2341015bfe121d5,2,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_b81a94b4bc21d100,complete,,artifacts\runs_v2\v2_approx_closure_bound_b81a94b4bc21d100,0.0,0.0,0.9999999999999999,single,1,1,0.0,0.0,0.0,0.0,0.00048180000158026814,9125,0,exact_zero_residual,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,b440d00ac56c6a82bc54fd55d02a5375e06fdfd765d001f01b3297acb634737b,766a2baac277988382ca654df38674506cb40abf6fe2e0753fb517a16150a2d1,37f728f4c3c5bd530cebb986d560163ffa7a206d42ec5a76a2341015bfe121d5,2,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_76986664d6d97e0b,complete,,artifacts\runs_v2\v2_approx_closure_bound_76986664d6d97e0b,0.0,0.0,0.9999999999999999,associator_left,2,2,0.0,0.0,0.0,0.0,0.0010787000064738095,9301,0,exact_zero_residual,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,d1ec9b69dcca859645a949590643846ef0fb3d19eef7fe0a01df0b894f9bac52,766a2baac277988382ca654df38674506cb40abf6fe2e0753fb517a16150a2d1,37f728f4c3c5bd530cebb986d560163ffa7a206d42ec5a76a2341015bfe121d5,2,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_7da286454ff617ba,complete,,artifacts\runs_v2\v2_approx_closure_bound_7da286454ff617ba,0.0,0.0,0.9999999999999999,balanced,4,2,0.0,0.0,0.0,0.0,0.002003900008276105,9845,0,exact_zero_residual,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,dbcf79ea61d37961179b8f178553d87b84b9c8a8c51fc5e0719dfda8c148ca3a,31953a662f4dd01da0ad0c805e8b49f793d0d06b6d4dc0356b1729489824ab6d,37f728f4c3c5bd530cebb986d560163ffa7a206d42ec5a76a2341015bfe121d5,2,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_b5f43c319e1d39b1,complete,,artifacts\runs_v2\v2_approx_closure_bound_b5f43c319e1d39b1,0.01,0.01,1.0000499987500624,single,1,1,0.007100467992738065,0.0,0.009999999999999995,0.7100467992738069,0.0005147000192664564,9125,0,complete,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,a3aa63cb0fa9b826306d211bf0aa874ad3c9463b623da5368db235a58373d4a0,31953a662f4dd01da0ad0c805e8b49f793d0d06b6d4dc0356b1729489824ab6d,37f728f4c3c5bd530cebb986d560163ffa7a206d42ec5a76a2341015bfe121d5,2,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_4577dd8ac1d7fc65,complete,,artifacts\runs_v2\v2_approx_closure_bound_4577dd8ac1d7fc65,0.01,0.01,1.0000499987500624,associator_left,2,2,0.0004939644152219941,0.0,0.020000999975001238,0.024696985942672275,0.0010172000038437545,9301,0,complete,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,fe7c714bee2613ee3e323aaaf8e8c77bb8ce609b1e1fa7a7a5e8194d72f9dec4,31953a662f4dd01da0ad0c805e8b49f793d0d06b6d4dc0356b1729489824ab6d,37f728f4c3c5bd530cebb986d560163ffa7a206d42ec5a76a2341015bfe121d5,2,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_7c29950c1c4e66f5,complete,,artifacts\runs_v2\v2_approx_closure_bound_7c29950c1c4e66f5,0.01,0.01,1.0000499987500624,balanced,4,2,1.336413630644172e-07,0.0,0.040006000149997466,3.3405329841360223e-06,0.0024429000332020223,9845,0,complete,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,8a25afe352d3ebf31febe5f366adb5a80e6a59e0604df070e6b9246657514329,efa981f603df4e655807f6435cf3590ae0c93587aed506d398606af86e706724,37f728f4c3c5bd530cebb986d560163ffa7a206d42ec5a76a2341015bfe121d5,2,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_bb58aa4fc5088706,complete,,artifacts\runs_v2\v2_approx_closure_bound_bb58aa4fc5088706,0.05,0.05,1.0012492197250393,single,1,1,0.03550233996369033,0.0,0.04999999999999998,0.7100467992738069,0.0007000000332482159,9125,0,complete,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,936b85efbac3382db1f6609d4617d8adb97de6164467ddc582f6d8c1a3fa32a0,efa981f603df4e655807f6435cf3590ae0c93587aed506d398606af86e706724,37f728f4c3c5bd530cebb986d560163ffa7a206d42ec5a76a2341015bfe121d5,2,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_a26d2d62ec390f38,complete,,artifacts\runs_v2\v2_approx_closure_bound_a26d2d62ec390f38,0.05,0.05,1.0012492197250393,associator_left,2,2,0.0024698220761099703,0.0,0.1001249219725039,0.024667405751269675,0.0011491000186651945,9301,0,complete,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,a5dd26d64121373379f72977d362a1888d03b17ef2da559e0cd975a4ebe7cab9,efa981f603df4e655807f6435cf3590ae0c93587aed506d398606af86e706724,37f728f4c3c5bd530cebb986d560163ffa7a206d42ec5a76a2341015bfe121d5,2,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_d882b4faa64f901a,complete,,artifacts\runs_v2\v2_approx_closure_bound_d882b4faa64f901a,0.05,0.05,1.0012492197250393,balanced,4,2,6.682068153220859e-07,0.0,0.20075046855487033,3.32854423769102e-06,0.0024219999904744327,9845,0,complete,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,da3d1bbb937610d53bc5ae4588880853022b2049176e3002b96d99b0122d9387,72892151a797ffdcda0c2fe1ec73865e6ef28548e7203f01a10b4a0703f94caa,37f728f4c3c5bd530cebb986d560163ffa7a206d42ec5a76a2341015bfe121d5,2,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_cd66043638bebce8,complete,,artifacts\runs_v2\v2_approx_closure_bound_cd66043638bebce8,0.1,0.1,1.004987562112089,single,1,1,0.07100467992738066,0.0,0.09999999999999996,0.7100467992738069,0.0005260000471025705,9125,0,complete,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,e1aec574c0b5d1521285d6de07eb184b8f09cbef6fd53dae1312f32ec5872e1a,72892151a797ffdcda0c2fe1ec73865e6ef28548e7203f01a10b4a0703f94caa,37f728f4c3c5bd530cebb986d560163ffa7a206d42ec5a76a2341015bfe121d5,2,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_ba75d01d700ff592,complete,,artifacts\runs_v2\v2_approx_closure_bound_ba75d01d700ff592,0.1,0.1,1.004987562112089,associator_left,2,2,0.004939644152219941,0.0,0.20099751242241773,0.024575648189310677,0.0011261000181548297,9301,0,complete,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,17d6e761bf61f83dcda6864e1c729b1a9ceef1f948d77ccc5493d692d207c509,72892151a797ffdcda0c2fe1ec73865e6ef28548e7203f01a10b4a0703f94caa,37f728f4c3c5bd530cebb986d560163ffa7a206d42ec5a76a2341015bfe121d5,2,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_d8144b345f2cbc6f,complete,,artifacts\runs_v2\v2_approx_closure_bound_d8144b345f2cbc6f,0.1,0.1,1.004987562112089,balanced,4,2,1.3364136306441719e-06,0.0,0.4060149750932837,3.291537782164623e-06,0.002069600042887032,9845,0,complete,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,f0e9b649fb1ea2b823fa658dbae332b7e05531b0e5cee5003239a1a7241efbcf,aa02f4163cf67c746341015a5d833ce1b7c85a9b9566be176a4ff80868bd768b,e79f5bc7afbc3674969b57747b256a20ee9381eec65d6fece90f93301e0a9693,3,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_593b9d9bb2a4529d,complete,,artifacts\runs_v2\v2_approx_closure_bound_593b9d9bb2a4529d,0.0,0.0,1.0,single,1,1,0.0,0.0,0.0,0.0,0.0005154000245966017,9125,0,exact_zero_residual,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,b440d00ac56c6a82bc54fd55d02a5375e06fdfd765d001f01b3297acb634737b,aa02f4163cf67c746341015a5d833ce1b7c85a9b9566be176a4ff80868bd768b,e79f5bc7afbc3674969b57747b256a20ee9381eec65d6fece90f93301e0a9693,3,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_a3ee99034376428d,complete,,artifacts\runs_v2\v2_approx_closure_bound_a3ee99034376428d,0.0,0.0,1.0,associator_left,2,2,0.0,0.0,0.0,0.0,0.0012226999970152974,9301,0,exact_zero_residual,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,d1ec9b69dcca859645a949590643846ef0fb3d19eef7fe0a01df0b894f9bac52,aa02f4163cf67c746341015a5d833ce1b7c85a9b9566be176a4ff80868bd768b,e79f5bc7afbc3674969b57747b256a20ee9381eec65d6fece90f93301e0a9693,3,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_492fd6b9d2e0bdb2,complete,,artifacts\runs_v2\v2_approx_closure_bound_492fd6b9d2e0bdb2,0.0,0.0,1.0,balanced,4,2,0.0,0.0,0.0,0.0,0.002239299996290356,9845,0,exact_zero_residual,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,dbcf79ea61d37961179b8f178553d87b84b9c8a8c51fc5e0719dfda8c148ca3a,8d03cbec533596cd48a45a929987caf6bb60a5c5d715a452dd104e7d0bc6668a,e79f5bc7afbc3674969b57747b256a20ee9381eec65d6fece90f93301e0a9693,3,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_36199f4e2a73590a,complete,,artifacts\runs_v2\v2_approx_closure_bound_36199f4e2a73590a,0.01,0.01,1.0000499987500626,single,1,1,0.0009458464346564637,0.0,0.009999999999999998,0.09458464346564638,0.0005327999824658036,9125,0,complete,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,a3aa63cb0fa9b826306d211bf0aa874ad3c9463b623da5368db235a58373d4a0,8d03cbec533596cd48a45a929987caf6bb60a5c5d715a452dd104e7d0bc6668a,e79f5bc7afbc3674969b57747b256a20ee9381eec65d6fece90f93301e0a9693,3,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_58564c3c5eb9eb9b,complete,,artifacts\runs_v2\v2_approx_closure_bound_58564c3c5eb9eb9b,0.01,0.01,1.0000499987500626,associator_left,2,2,0.0007930482885934658,0.0,0.02000099997500125,0.03965043195763598,0.00116460002027452,9301,0,complete,0,,,,,,,,,,,,,,,
V2_APPROX_CLOSURE_BOUND,fe7c714bee2613ee3e323aaaf8e8c77bb8ce609b1e1fa7a7a5e8194d72f9dec4,8d03cbec533596cd48a45a929987caf6bb60a5c5d715a452dd104e7d0bc6668a,e79f5bc7afbc3674969b57747b256a20ee9381eec65d6fece90f93301e0a9693,3,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_853bbbb9a410b3aa,complete,,artifacts\runs_v2\v2_approx_closure_bound_853bbbb9a410b3aa,0.01,0.01,1.0000499987500626,balanced,4,2,0.0001656355634530868,0.0,0.04000600014999751,0.004140268030596834,0.0021231999853625894,9845,0,complete,0,,,,,,,,,,,,,,,
